dune-part-two,4322,10363,5693,32109,32557,150518,191495,633707,578011,1106861
a-complete-unknown,1748,5040,5885,30413,52123,176790,226558,275068,78395,72060
the-substance,20357,37874,28621,107327,113458,368304,426453,879632,392537,526506
furiosa-a-mad-max-saga,2762,6848,5819,26441,35475,124626,185771,331547,137523,85501
a-real-pain,1887,4477,4444,21910,35289,147213,233385,360125,114214,83821
the-color-purple,235,601,604,2746,3923,16440,21987,40382,13773,25292
maestro-2023,2597,7278,8153,32897,41581,83632,63829,53724,14197,11597
past-lives,2580,5903,4610,23308,28938,117548,168506,450415,287214,429868
the-zone-of-interest,4583,10493,8363,32165,36441,110629,135638,269970,135401,127707
tar-2022,2317,5609,4129,17617,19914,64264,86622,186034,110666,88191
the-menu-2022,8093,27533,22265,129488,141345,557297,543368,799200,197125,254679
bardo-false-chronicle-of-a-handful-of-truths,601,1312,1441,4644,5549,11070,12381,17068,7845,9038
babylon-2022,5094,11550,8800,34404,37942,111541,137092,260779,152259,184886
the-menu-2022,8093,27533,22265,129488,141345,557297,543368,799200,197125,254679
rrr,1234,1857,1617,5387,6615,22680,34267,85452,60563,87744
nightmare-alley-2021,1451,4438,4308,20650,28343,83773,96824,96336,23801,16122
belfast,907,2718,3876,13148,18641,47212,51442,58025,16930,15579
being-the-ricardos,593,2031,2854,10927,13694,24554,15174,9582,1606,1413
nightmare-alley-2021,1451,4438,4308,20650,28343,83773,96824,96336,23801,16122
house-of-gucci,5560,15324,16327,60475,67562,135271,80690,59551,9614,15299
no-time-to-die-2021,2442,6495,7122,32331,48252,157797,185816,204000,50629,45843
the-french-dispatch,2783,9069,7374,39054,47111,164040,184580,262630,92006,90836
the-father-2020,255,714,663,3400,4487,22122,41148,131166,94460,89243
the-mauritanian,45,140,202,1178,2476,10048,15196,17777,3979,4050
minari,350,1065,982,5635,8567,42837,73300,174940,97063,81451
judas-and-the-black-messiah,224,547,550,3166,5491,27872,52173,123087,60449,42098
one-night-in-miami,147,305,427,2101,3621,14439,23329,28373,7609,4796
sound-of-metal,390,1089,1003,5668,8518,47478,94907,272623,167402,152243
ford-v-ferrari,640,1993,1842,10585,17195,85102,146337,329250,146298,136492
the-two-popes,527,1402,1494,7027,11077,43748,59024,76101,18808,18002
knives-out-2019,3912,15800,8920,74320,67397,442878,436125,1180024,432016,688140
joker-2019,14314,40069,24691,137744,116702,551294,500901,1298782,439522,855594
vice-2018,1313,4365,4899,16564,21561,59260,64721,68818,16803,12768
a-star-is-born-2018,5048,13807,9275,46899,47686,181580,182528,286162,83826,127226
crazy-rich-asians,3898,10044,8933,38570,46864,163775,162832,216299,57696,112398
if-beale-street-could-talk,199,571,586,2998,4285,16533,24427,50184,23631,19648
blackkklansman,1233,3091,2777,15232,22191,118462,188067,400953,137894,143406
deadpool-2,5001,14246,14530,71047,94214,353003,340630,408641,84182,148708
mary-poppins-returns,2274,5991,5647,22704,24887,59174,33439,30932,6243,10630
a-quiet-place-2018,5002,15851,12672,68137,72664,323727,331007,564305,139813,211069
darkest-hour,820,2222,2477,10905,16498,52157,60652,64461,14699,12751
phantom-thread,1314,3258,2230,11063,11767,45918,65010,159380,109883,133382
the-post-2017,706,2021,2090,10621,15272,52728,55926,56462,10655,9162
the-big-sick,734,1499,1268,6464,8798,39334,55638,90222,27453,19833
the-florida-project,1662,3760,2952,14034,16495,73652,111775,294330,162013,225009
the-disaster-artist,1526,4182,3308,16348,22430,86690,99445,114124,23355,21168
logan-2017,1625,5129,3832,22588,23284,121168,157376,423279,236873,305140
hacksaw-ridge,1751,4381,4363,17231,23279,88254,133264,286344,132897,186245
manchester-by-the-sea,1813,4890,3041,15926,17207,75833,111774,287916,171521,193327
sing-street,389,939,917,4341,6490,30738,48860,102396,47782,62638
sully,441,1637,1914,10567,18311,71038,77917,67561,11842,13061
hell-or-high-water,283,807,839,4573,7796,36191,67491,124887,46735,29890
nocturnal-animals,3149,7232,5822,23777,27286,88962,115802,189870,67523,66357
the-lobster,6036,14089,9315,39129,42244,149959,190890,336155,119615,115114
deadpool,7861,22189,15465,80347,87480,426930,423633,780770,176751,360695
the-jungle-book-2016,2358,7282,7313,34359,40830,115272,75547,68255,11712,15440
captain-fantastic,1164,2293,2076,7980,11621,45500,72805,139197,53036,73610
ant-man,7067,23073,21397,107212,131998,434135,300509,282536,40912,78862
carol-2015,959,2613,2031,11521,13743,61933,76208,173631,75664,145063
steve-jobs,661,2057,1871,10241,13328,46961,52429,65211,21754,14809
star-wars-the-force-awakens,20165,45764,30638,140251,133949,428813,295215,351822,69648,108284