username,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,total,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favorite-2019,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
alphonse0,25,115,136,277,336,456,375,334,153,82,2289,3.0,3.5,3.5,Missing,3.0,Missing,Missing,3.5,1.5,Missing,3.5,Missing,Missing,Missing,3.5,Missing,4.5,4.0,Missing,2.0,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,1.5,Missing,2.5,5.0,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
aaronelwhite,5,67,34,511,186,1751,342,994,153,356,4399,Missing,3.5,Missing,Missing,Missing,5.0,Missing,5.0,0.5,5.0,2.5,4.0,3.5,3.0,2.5,3.5,5.0,3.5,5.0,3.0,4.0,2.5,3.5,3.5,5.0,2.0,4.5,4.0,Missing,4.0,4.0,4.0,5.0,5.0,1.0,4.0,3.0,4.0,3.0,4.0,Missing,Missing,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,3.5,4.0,4.0,Late 4.0,5.0,5.0,Missing,Missing,Late 4.5,3.0
thefilmtripper,7,23,14,154,89,258,167,306,72,128,1218,4.0,Missing,4.5,3.5,Missing,5.0,4.0,Late 2.5,Late 3.5,Missing,4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,4.0,2.5,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing
jewbo23,16,163,435,755,1348,1643,1858,1411,242,20,7891,4.0,Missing,Late 3.5,Missing,Missing,3.0,Missing,3.0,Late 4.5,4.0,3.5,4.5,Late 4.0,Late 3.0,4.0,Missing,3.5,3.0,Missing,Missing,Missing,3.0,Missing,Missing,2.5,Late 2.0,Late 3.5,4.0,3.5,4.5,4.0,4.5,4.0,2.5,Late 4.0,Late 4.0,2.0,2.5,4.0,Missing,Missing,Missing,Missing,Late 3.5,Late 4.5,Late 3.5,4.0,Missing,2.5,Late 3.5,4.0,Late 4.5,4.0,Missing,4.5,Missing,Late 4.0,Missing,Late 4.0,Late 3.5,4.5,Late 3.5,4.0,4.0,Late 3.5
cinema_strikes,6,57,198,346,1096,2422,1791,693,134,66,6809,4.0,3.0,Late 3.5,1.5,4.0,Missing,Missing,3.5,4.0,3.5,3.5,4.5,3.0,4.0,4.0,3.0,3.5,2.5,Late 2.5,3.5,4.0,2.5,Late 1.0,Missing,3.5,2.5,3.5,2.5,3.0,Late 3.5,3.5,4.0,4.0,4.0,3.5,Late 2.0,4.0,3.5,Late 2.5,4.0,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Missing,Late 3.5,3.5,Missing,Late 3.5,Missing,Late 3.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing
boyerased,24,44,5,166,77,409,189,332,66,112,1424,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing
ghostdinosaur,156,363,459,585,454,558,409,186,96,70,3336,3.0,3.0,Late 1.5,Late 1.5,Late 2.5,1.5,Missing,3.5,3.5,3.0,3.0,Late 2.0,Missing,3.0,2.0,Missing,2.0,3.5,Missing,3.5,Missing,Late 1.0,Missing,Missing,2.0,Missing,Missing,Missing,2.0,Late 2.5,Missing,2.5,2.5,2.0,Missing,Late 1.0,2.0,2.0,Late 2.0,3.5,2.0,Missing,Late 1.5,0.5,1.5,2.0,4.0,1.5,2.0,2.0,3.0,2.0,2.5,1.0,3.5,Missing,2.0,Late 0.5,Late 1.5,Late 2.5,4.0,3.0,3.0,2.0,Missing
andrez15,78,71,51,131,93,231,146,165,72,106,1144,4.5,Late 4.0,Missing,Late 0.5,Missing,Late 4.0,Missing,Missing,Late 5.0,4.5,4.5,Late 5.0,Missing,Late 5.0,Late 3.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Late 5.0,Missing
sam_kam,0,14,14,69,67,202,243,252,91,58,1010,4.5,4.5,4.5,Missing,4.5,3.5,3.5,4.0,4.5,4.0,3.5,4.5,Late 4.0,3.0,4.5,4.0,Missing,3.0,4.0,3.0,5.0,3.0,3.5,4.0,3.0,3.0,4.0,3.5,Missing,4.0,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 5.0,Missing,Late 4.0,Late 3.5,Missing,Late 4.0,Late 4.0,Late 4.0,Missing,Late 5.0,Missing,Missing,Late 3.0,Missing,Late 3.5,Late 4.0,Late 4.5,Missing,Missing,Missing
pube,27,89,103,202,271,377,278,271,58,60,1736,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 0.5,Missing,Missing,Missing,Missing,Missing,5.0,Missing,3.5,Missing,Missing,Late 3.0,3.0,Missing,Missing,Missing,3.5,Missing,1.0,2.5,3.0,3.0,3.0,4.0,Missing,Late 3.0,Missing
prateeksharma,56,79,141,221,190,331,328,412,216,170,2144,4.5,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,2.5,3.0,4.0,5.0,Missing,5.0,3.0,4.5,4.5,Late 3.5,2.5,3.5,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 2.5,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Late 4.5,Missing,Missing,Missing
marktinta73,69,379,358,538,394,934,596,730,336,347,4681,4.5,3.5,Late 3.5,Missing,Late 3.0,Missing,Missing,5.0,4.0,4.5,4.0,4.5,2.5,Late 5.0,4.0,Late 2.5,4.5,Missing,Missing,4.0,Missing,3.5,Missing,Missing,4.0,2.5,Late 4.5,Missing,3.0,4.0,Missing,5.0,3.0,4.0,Missing,Missing,5.0,Late 3.5,Missing,Missing,Missing,Missing,Missing,2.5,4.5,Late 4.0,4.0,Missing,4.5,Late 4.0,2.0,Missing,5.0,Missing,3.5,Missing,4.5,Missing,4.5,5.0,5.0,Missing,Missing,Missing,Late 3.5
lobster20000,5,14,25,53,81,160,192,232,86,162,1010,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,3.5,Missing,2.0,Missing,4.0,Late 3.5,Missing,4.0,Missing,Missing,Missing,4.0,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.5,Missing
ct_sexybeast,24,53,64,116,122,168,182,210,166,166,1271,Missing,Missing,Late 4.5,Late 1.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Late 3.5,Missing,Missing,Missing,4.0,Missing,Missing,4.0,Missing,3.0,Missing,Missing,Missing,4.0,Missing,Missing,3.5,Late 3.5,4.5,4.5,4.5,4.5,5.0,Missing,4.5,4.0,Missing,4.5,Missing,Missing,Missing,4.5,3.5,4.5,4.5,3.5,4.0,4.0,5.0,Missing,5.0,Missing,4.0,4.0,Late 4.0,5.0,4.0,3.5,4.5,5.0,4.5,Late 4.0,3.5
samherbst,11,45,125,242,204,416,354,337,153,78,1965,4.5,3.5,Late 4.5,2.0,4.0,Missing,4.0,4.0,4.0,4.0,2.5,4.0,2.5,3.0,3.5,3.5,3.0,3.5,Missing,3.5,3.0,Late 2.5,Missing,3.5,4.0,3.0,4.0,2.5,3.0,3.5,Missing,5.0,2.5,3.0,3.0,1.5,4.0,3.5,Missing,4.0,3.5,Missing,3.5,3.5,3.0,5.0,4.5,5.0,Late 4.0,3.5,Missing,Missing,Missing,Missing,Late 4.5,Late 3.0,Late 4.5,Late 2.0,Missing,Missing,Late 3.5,Missing,Missing,Late 4.0,Missing
gniola,3,30,141,242,239,280,290,193,55,21,1494,4.5,3.5,4.5,4.5,Missing,2.0,2.5,2.5,2.5,4.0,2.5,4.0,3.0,4.5,3.5,Late 2.5,4.0,4.0,Missing,2.0,3.0,2.5,2.5,Missing,4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1.5
luckydoll,18,75,64,171,163,319,216,260,70,91,1447,Late 4.5,Late 4.5,Missing,Missing,Missing,5.0,Missing,3.0,5.0,4.5,4.0,4.0,Missing,4.5,3.0,Missing,4.0,4.5,4.0,2.5,Late 1.0,3.5,4.0,4.5,3.5,2.5,4.0,4.5,5.0,4.0,4.0,Late 5.0,Late 4.0,Late 2.5,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 5.0,Late 2.0,Missing,Late 2.5,Late 4.0,Late 4.0,Late 4.0,Late 4.0,Late 4.5,Missing,Missing,Late 3.0,Late 3.5,Missing,Missing,Late 3.0,Late 4.0,Late 2.5,Missing
nvargascamus,5,21,27,199,260,509,586,783,404,226,3020,5.0,4.0,Late 4.5,Late 1.0,Late 4.0,Missing,Missing,5.0,Late 4.0,4.5,3.5,5.0,Late 3.5,4.0,Late 4.5,Late 4.0,4.5,3.5,4.0,4.5,Late 4.0,3.0,3.5,3.5,4.0,4.5,4.5,3.5,3.5,4.0,4.0,4.5,4.0,4.0,3.5,Late 3.0,4.5,Late 3.5,2.5,4.0,Missing,Missing,Late 4.5,Late 4.0,Late 4.0,Late 4.0,4.5,4.5,4.5,Late 4.0,Late 4.5,Late 4.0,4.5,Late 3.0,4.5,Late 3.0,Late 3.0,Missing,Late 4.0,3.0,Late 4.5,Late 4.0,Late 4.5,Late 4.0,4.0
bratzzzgurl,9,56,137,243,249,370,342,475,347,226,2454,3.0,3.5,Late 4.0,Late 2.0,4.5,Missing,3.5,Late 4.5,Missing,Late 4.0,Missing,Missing,Late 4.5,Missing,Late 3.5,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Late 4.5,Missing,Late 4.0,Late 3.5,Missing,Late 4.5,Late 3.5,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 4.5,Late 3.0,Missing,Missing,Late 4.0,Missing,Late 4.5,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 4.5,Late 4.5,Late 4.0,Missing
halloweenh,9,25,79,347,589,1223,1006,1489,66,456,5289,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
terencedavies,22,45,68,135,191,372,297,250,66,33,1479,4.5,2.5,Late 4.0,3.5,Late 3.5,5.0,2.0,2.0,2.0,3.5,3.5,4.0,4.0,3.5,4.5,3.0,4.0,4.0,Late 4.0,4.0,4.0,3.5,Late 4.0,3.5,4.5,Missing,Missing,Missing,Missing,Late 3.5,Late 4.0,4.5,4.0,Late 4.0,2.5,Missing,3.5,4.0,Missing,3.0,Missing,Missing,Missing,4.0,1.0,4.0,2.5,5.0,1.5,2.5,3.0,Missing,Missing,4.5,4.5,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing
oscarkit316,49,142,186,588,851,1703,1449,1492,667,448,7575,Late 4.0,Missing,Missing,Late 2.0,Missing,Missing,Missing,4.5,Late 4.0,Missing,Missing,4.5,Late 3.5,4.0,Missing,Missing,4.0,Missing,Missing,4.0,Late 4.0,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,4.0,Missing,Missing,3.0,Late 2.0,3.0,Missing,Missing,4.0,Late 4.0,Late 3.5,Late 4.0,3.5,3.5,3.5,4.0,4.5,Late 4.5,5.0,Late 3.5,4.5,Late 3.0,5.0,3.5,Late 4.0,4.0,5.0,5.0,5.0,5.0,Late 4.0
twinkcore,20,63,63,174,187,305,290,219,88,71,1480,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1.0,Missing,Missing,Missing,Missing,1.0,Missing,Missing,Missing,Missing,Missing,Missing,0.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 5.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
billryan,55,90,100,194,131,334,303,418,160,263,2048,4.0,3.5,Late 4.0,Missing,Late 3.5,Late 1.5,Missing,5.0,Missing,4.5,2.5,2.0,Missing,5.0,4.5,Missing,Missing,1.0,Late 2.5,Late 4.5,Late 5.0,1.5,Late 3.0,Missing,3.5,3.0,Late 3.5,1.0,Missing,3.0,3.0,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Late 1.5,Missing,Missing,Missing,Missing,2.0,3.5,3.5,3.5,Missing,5.0,Late 2.0,2.0,Late 4.0,Late 3.5,Late 3.0,Late 4.0,Missing,Late 3.0,Late 3.0,Late 3.5,4.0,4.0,4.5,4.0,4.5,Late 3.0
madisqnn,10,22,28,77,116,271,246,277,107,127,1281,4.5,Late 3.0,Late 4.5,Missing,Missing,4.0,Missing,1.0,Late 4.5,5.0,Missing,Late 4.0,Late 3.5,Late 4.0,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 3.0,Missing,Late 3.0,Late 3.0,Missing,Missing,Missing,Missing,Late 3.5,Late 2.0,Missing,Missing,Late 4.0,Late 4.5,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Missing,Late 3.0,Late 3.0,Late 5.0,Missing,Late 4.5,Missing,Late 4.0,Late 5.0,Late 4.0,Missing,Late 3.0,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing
evilll,483,667,1451,2565,4098,3809,1323,425,168,65,15054,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.5,Missing,Late 3.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
foofdeckman,112,151,160,166,212,322,278,258,138,48,1845,4.0,3.0,Late 3.5,Late 1.5,Late 4.5,3.0,Missing,4.5,Late 5.0,4.5,Missing,5.0,4.0,4.0,4.5,Missing,3.5,Late 3.0,4.0,3.0,3.5,1.0,Missing,4.0,4.5,4.0,3.5,3.0,4.0,3.5,3.0,4.5,Late 3.5,Late 4.0,Late 4.0,Late 2.0,Missing,2.5,Late 2.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 3.0,Late 3.5,Missing,Missing,Missing,Missing,Late 4.5,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 5.0,Missing
rupertpupkin,4,21,56,245,773,2004,1830,763,186,118,6000,4.0,3.5,Missing,Missing,Missing,Missing,Missing,4.0,3.5,4.0,3.5,4.0,Missing,3.5,3.5,Missing,3.5,Missing,Missing,3.5,Missing,Missing,3.5,Missing,4.0,3.5,3.5,Missing,Missing,Missing,4.0,4.0,Missing,5.0,Late 3.5,Missing,Missing,4.0,Missing,3.5,Missing,Missing,3.5,4.0,Late 4.0,Late 4.0,4.0,Missing,3.5,Missing,3.5,Missing,4.0,Missing,4.0,Missing,4.0,Missing,Missing,4.0,4.5,3.5,4.5,5.0,Missing
sonnybunch,0,5,36,104,137,214,238,342,125,119,1320,4.0,3.0,3.5,2.5,4.0,2.5,Missing,4.5,3.0,3.5,3.5,5.0,4.0,3.5,4.5,2.0,4.0,4.0,3.5,4.0,3.5,3.0,4.0,Missing,3.5,4.0,4.0,3.0,1.5,3.0,4.0,3.5,3.0,4.0,2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Late 5.0,Missing
