username,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,total,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favorite-2019,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
anniewoj,34,79,102,150,170,323,310,274,79,48,1569,3.5,3.0,3.0,2.0,4.0,3.0,Missing,4.0,3.5,3.0,Missing,4.0,Missing,4.0,3.0,Missing,3.5,3.0,3.0,3.5,Missing,Missing,3.0,2.5,Late 3.0,2.5,4.0,Missing,Missing,2.5,3.5,5.0,Missing,Missing,Late 2.5,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 5.0,Late 5.0,Late 5.0,Missing,Missing,Missing,Late 4.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
cinema_snobb,48,439,630,1721,1370,1187,1543,968,342,170,8418,5.0,4.5,Late 4.5,2.5,4.0,3.5,3.5,5.0,Late 4.0,5.0,4.5,3.5,4.0,4.5,4.0,4.0,3.5,4.0,Late 4.5,Late 5.0,Late 3.5,Late 2.5,Late 3.5,Late 4.5,Late 4.0,Late 4.0,Late 5.0,Late 4.0,Late 3.5,Late 4.5,Late 3.5,Late 5.0,Late 4.5,Late 4.5,Late 4.0,Late 3.5,Late 5.0,Late 4.0,Late 3.5,Late 4.5,Late 4.0,Missing,Late 4.0,Late 3.5,Late 4.5,Late 5.0,Late 4.5,Late 5.0,Late 4.5,Late 4.0,Late 4.0,Late 5.0,Late 5.0,Late 3.5,Late 4.0,Late 4.0,Late 4.5,Late 4.0,Late 4.5,Late 4.0,Late 4.5,Late 4.5,Late 5.0,Late 4.0,Late 4.0
staceyb,32,68,78,118,123,238,230,246,98,123,1354,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,3.5,Missing,Missing,4.0,Missing,Missing,Missing,4.0,Late 3.5,Missing,Missing,Missing,Late 4.0,Late 4.5,Missing,Late 4.5,Missing,Late 3.0,4.0,Missing,Missing,Missing,Late 4.5,1.5,5.0,4.0,Late 5.0,Late 3.5,4.0,4.5,Late 4.5,5.0,Missing,Late 4.5,Missing,4.0,2.5,Late 4.5,Late 4.0,5.0,Late 3.5,Late 2.5,4.5,Late 3.5
eggchoke,58,114,97,156,154,301,245,211,63,32,1431,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,3.0,3.0,Missing,Late 3.5,Missing,1.0,Missing,Missing,3.0,Missing,4.5,Missing,Missing,3.0,3.5,5.0,4.0,2.5,3.5,Late 1.5,4.5,Missing,Late 0.5,3.5,4.0,Missing,4.5,4.5,Late 3.0,5.0,Missing,5.0,3.5,3.0,4.0,Late 4.5,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 2.0,Missing,Missing,Missing
dakotanoot,9,55,56,135,309,452,421,498,153,376,2464,4.5,Missing,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
mrmichaeldjones,10,45,91,230,320,462,598,673,434,173,3036,4.5,4.0,Late 4.5,3.0,4.0,2.5,Missing,4.5,4.5,5.0,3.5,5.0,Missing,Late 4.5,5.0,Missing,4.0,3.0,3.5,4.0,4.5,3.0,3.5,3.5,4.5,3.0,4.0,3.5,4.0,4.0,4.0,Late 5.0,4.5,3.5,4.0,3.5,4.5,4.0,3.0,4.0,4.5,Missing,4.5,Late 5.0,Late 4.5,Late 5.0,4.5,5.0,5.0,Late 4.0,Missing,Late 5.0,5.0,Late 3.0,Late 5.0,4.0,Late 5.0,Missing,Missing,Missing,Late 5.0,Late 4.5,Late 5.0,Late 4.5,Missing
cauls_apartment,30,87,141,311,402,620,474,434,180,71,2750,Late 5.0,Late 3.5,Late 4.0,Missing,Missing,Missing,Missing,4.5,Late 4.0,Late 4.5,Missing,5.0,Missing,4.5,Late 4.5,Missing,4.5,4.0,Late 4.0,Late 5.0,Missing,2.5,Missing,Late 4.5,4.0,Late 3.0,Late 4.0,Late 3.0,Missing,Missing,Missing,Late 5.0,Late 2.5,4.5,4.0,Missing,Late 5.0,Late 4.0,Late 2.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing
madfrieza,4,50,90,248,429,710,456,386,169,57,2599,Missing,Late 4.0,Missing,Late 2.0,Missing,3.5,Missing,4.5,Late 4.0,4.0,Missing,4.0,Missing,Missing,4.0,Late 3.5,4.5,4.0,Missing,Late 4.0,Missing,2.0,Missing,3.5,Late 4.0,4.5,Late 4.0,4.0,3.5,4.0,Late 3.0,5.0,Missing,Late 3.5,4.5,Missing,Late 4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 5.0,Missing,Late 4.5,Missing,Missing,Late 3.0,Late 3.0,Late 3.0,Missing,Missing,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 3.5
anythingplusmor,188,392,390,742,1341,1432,1054,592,255,68,6454,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.0,1.0,3.0,Missing,Late 0.5,Missing,0.5,1.5,Missing,1.5,2.5,Missing,2.0,2.5,0.5,Missing,Missing,Missing,1.0,Missing,Missing,0.5,0.5,Missing,Missing,1.5,3.0,Missing,1.5,Late 1.5,2.5,Missing,Missing,Missing,Missing,1.5,Late 2.5,2.5,3.0,3.0,4.0,3.5,2.5,2.5,2.5,2.0,Missing,3.0,Missing,3.0,3.0,1.0,2.5,5.0,0.5,Missing,1.5,2.5
muuurrpphy,62,128,308,527,657,979,821,583,280,150,4495,2.5,2.5,3.5,Late 1.5,3.5,2.0,Late 1.0,3.0,Late 1.0,3.5,2.5,2.0,1.5,4.5,3.0,Late 2.5,3.5,3.0,Late 2.5,3.0,5.0,2.0,Late 3.0,Late 2.5,2.5,3.5,Late 2.5,2.0,3.5,2.0,2.5,3.0,Late 2.0,4.0,Missing,3.0,2.5,3.0,Late 0.5,2.0,3.5,Missing,Late 2.5,Missing,2.5,Missing,4.0,4.0,3.0,1.5,3.5,3.0,Missing,2.0,3.0,Late 2.0,3.5,Missing,Late 2.5,4.0,5.0,5.0,3.0,4.5,1.5
wkyywen,13,18,33,93,130,293,316,244,87,101,1328,4.0,Missing,Missing,Missing,Missing,3.5,Missing,Late 4.5,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 3.5,Late 4.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing
cpizzignacco,0,402,0,875,0,1355,0,983,0,148,3763,4.0,Late 2.0,Missing,Late 1.0,Missing,Late 2.0,3.0,3.5,Late 4.5,4.0,Missing,5.0,4.0,4.0,4.0,Late 3.0,4.0,3.0,3.0,Missing,Late 3.5,2.0,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Late 2.0,3.5,4.0,2.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 3.5,Late 4.5,3.5,Late 5.0,Late 3.5,Late 3.5,4.0,Late 4.5,Late 4.0,Missing,Late 4.5,Missing,Late 3.0,Late 4.0,Late 3.5,Late 2.5,Late 4.0,Late 5.0,Missing,Late 5.0,Late 3.5
saint_hooligan,8,38,88,328,262,1063,760,999,209,351,4106,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing
alan1,111,233,264,350,399,585,750,703,312,93,3800,3.5,2.5,Late 4.0,Late 1.0,Late 3.0,3.0,Missing,5.0,Late 3.5,4.0,3.0,4.0,2.5,4.5,4.0,Late 3.0,4.5,3.0,Late 4.0,3.5,Late 4.0,1.0,3.5,4.5,5.0,Missing,Late 4.0,3.0,Late 3.5,4.0,3.0,5.0,4.0,4.0,4.0,Late 4.5,Late 4.5,4.0,4.5,Late 3.5,4.0,Missing,Late 2.5,Late 4.0,Late 4.0,Late 4.0,4.0,Late 3.5,Late 4.5,Late 3.5,5.0,Missing,4.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Late 4.5,Late 5.0,Missing,Missing,Missing
ofilmaria,9,16,21,69,104,256,187,237,87,110,1096,Late 5.0,4.0,Missing,Missing,Missing,Missing,Missing,Late 3.5,Late 4.0,Missing,Missing,Missing,4.0,4.0,3.0,4.5,5.0,Missing,5.0,Late 4.0,Late 2.0,3.5,4.0,3.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
wampeter57,21,53,104,269,511,1010,1132,817,330,149,4396,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Late 4.5,Late 3.0,4.5,Missing,Missing,Late 4.5,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.5,Late 3.5,3.5,Missing,4.0,Missing,Missing,4.0,Late 4.0,Late 3.5,3.5,Late 2.5,Late 2.0,Missing,4.0,Late 2.0,Late 3.5,Late 3.5,Missing,Missing,Late 3.0,3.0,4.5,4.0,Missing,4.0,Missing,4.0,Late 3.5,Late 3.0,Late 3.0,Late 4.5,Late 3.5,Late 4.0,4.0,Late 3.5,3.5,5.0,3.5,5.0,5.0,Late 3.0
ingmar,65,169,251,575,990,2447,1159,796,283,149,6884,Missing,Missing,Missing,0.5,3.5,Missing,Missing,Missing,Missing,Missing,Missing,1.5,Missing,Missing,2.5,1.5,2.5,1.5,Missing,3.0,Late 3.0,Missing,Missing,Missing,2.5,1.5,2.5,Missing,2.5,2.0,2.0,4.0,Missing,3.0,Missing,2.0,2.5,3.0,Late 1.5,3.0,Missing,Missing,3.0,3.0,2.5,3.5,2.5,Missing,2.5,Missing,4.0,3.0,3.0,Late 3.0,2.5,Late 2.5,2.0,2.0,3.5,2.5,3.5,3.5,Missing,Missing,3.0
megshields,14,28,73,200,266,396,376,432,92,28,1905,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,4.0,Missing,4.5,Missing,Missing,Missing,2.0,4.0,4.0,Missing,4.0,Missing,Missing,Missing,Missing,3.5,2.0,Missing,Missing,Missing,Missing,Missing,4.5,Missing,4.0,1.5,Missing,1.5,3.5,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 4.0,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 5.0,Missing,Missing,Late 4.5,Missing
andrewpope,118,266,445,810,927,1317,1309,1091,522,217,7022,4.5,4.0,5.0,2.5,4.5,3.5,2.0,4.5,4.0,4.0,4.0,4.5,3.5,4.0,4.0,3.0,4.5,4.0,3.5,3.5,3.5,2.5,3.0,1.5,3.5,3.5,3.0,Missing,3.0,4.5,3.5,5.0,4.5,4.5,3.0,2.0,4.5,3.5,Missing,4.0,2.5,Missing,5.0,4.0,Missing,Missing,Missing,4.5,Missing,Missing,Missing,Missing,5.0,Missing,Missing,3.5,Missing,Late 4.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Late 3.0
cecilselwyn,0,142,0,438,0,1705,0,1234,0,358,3877,Late 1.0,Missing,Missing,Late 1.0,Missing,4.0,Missing,3.0,Late 2.0,4.0,2.0,1.5,Missing,3.0,Missing,Missing,5.0,Missing,2.0,Late 3.0,Late 3.0,0.5,3.0,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 1.0,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 4.0,Missing
haris4pf,10,24,45,88,156,214,240,173,82,41,1073,4.5,3.5,Missing,Late 0.5,Late 3.0,Missing,Missing,5.0,Late 4.0,4.0,Late 3.5,3.5,4.0,Missing,Late 4.0,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Late 4.0,Missing,Late 4.0,Missing,Late 4.0,Missing,Late 4.0,Missing,Late 3.5,Late 3.5,Late 4.0,Missing,Missing,Late 4.0,Missing,Missing,Missing
akcvtt,52,152,190,293,325,445,447,411,130,130,2575,Late 4.0,3.5,Missing,Missing,Missing,4.5,Missing,5.0,Late 4.0,Late 5.0,Late 3.5,5.0,Missing,Late 4.5,4.0,4.5,Missing,3.5,3.5,4.5,4.0,3.0,3.5,5.0,3.5,2.5,Late 4.5,4.0,Missing,5.0,3.5,5.0,5.0,3.0,4.0,Missing,Late 5.0,4.0,3.5,4.0,3.5,Missing,Late 4.5,5.0,4.0,4.5,Missing,4.0,4.0,4.0,Missing,4.5,5.0,3.5,Late 4.0,3.5,4.0,4.0,4.5,4.0,4.0,5.0,Late 3.5,Missing,5.0
mellyfratelli,3,40,71,153,155,280,185,252,113,128,1380,4.5,4.0,Late 4.0,Late 0.5,Late 3.0,2.0,Missing,3.5,Late 4.5,4.5,4.0,3.5,Missing,Missing,Missing,2.5,4.5,3.0,Missing,4.0,Missing,Missing,4.0,4.5,5.0,Missing,Missing,Missing,Missing,5.0,5.0,Late 4.0,3.0,3.5,Missing,Missing,Missing,Late 4.5,Missing,Late 2.5,Missing,Missing,Missing,Late 4.5,Late 5.0,Late 5.0,Late 5.0,Late 4.0,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing,Late 4.5,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 3.0,Missing,Late 4.5,Missing
arroe,98,135,111,243,262,409,360,298,117,193,2226,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Late 3.5,Late 0.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,5.0,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 2.5,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Missing,Late 3.0,Late 3.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
schizopolis23,5,17,69,244,410,974,834,994,342,220,4109,Missing,5.0,Missing,Missing,Missing,Missing,Missing,4.5,Missing,4.5,Missing,3.0,Late 4.5,Missing,4.5,Missing,3.0,Missing,Missing,Missing,Missing,3.0,Missing,Missing,4.5,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 5.0,Late 3.5,4.0,Late 5.0,Late 4.0,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.5,Missing,4.0,Late 5.0,4.0,Missing,4.5,Missing,Missing,Missing,4.5,Missing,Late 5.0,Missing,Late 4.5,4.5,5.0,Late 4.5,5.0,4.5,4.0
samcmac,39,109,262,532,724,1128,1029,349,112,20,4304,3.0,Missing,3.5,3.5,4.0,1.0,1.5,Late 3.0,1.5,Late 2.5,Missing,2.5,Missing,3.5,3.0,2.5,2.5,3.0,Missing,3.0,Late 3.0,0.5,Missing,Missing,3.5,3.5,3.0,Missing,Missing,Missing,Missing,3.5,2.0,4.0,Missing,Missing,2.5,3.0,Missing,3.0,Missing,Missing,3.0,2.5,2.0,3.5,3.0,3.0,3.0,Missing,2.5,Missing,2.5,Missing,Missing,Missing,2.5,3.0,2.5,3.0,3.5,2.0,4.0,4.0,Missing
kindamainstream,86,128,127,365,381,795,638,590,176,153,3439,Missing,Late 3.5,Missing,Missing,Missing,5.0,Missing,4.0,4.5,5.0,4.0,5.0,Missing,4.5,4.5,Late 4.0,3.5,3.5,Late 4.0,4.5,Late 4.0,3.0,2.5,3.0,4.0,Missing,Missing,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 2.5,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
danyellowconnor,17,56,64,91,109,189,229,180,125,64,1124,3.5,3.5,Late 4.0,Late 1.5,Missing,Missing,Missing,4.0,Late 3.5,4.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 3.0,Late 1.0,Missing,Missing,Missing,Late 2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 1.5,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 3.0,Late 5.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Missing,Missing
pzng97,58,271,803,1836,1612,1782,1372,1016,296,84,9130,2.5,1.5,2.0,2.0,3.0,2.0,Missing,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
suttercain,77,179,401,631,669,861,754,735,392,198,4897,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,4.5,4.5,4.0,5.0,Missing,5.0,5.0,4.5,4.5,3.5,Missing,4.0,Late 4.0,0.5,Missing,4.5,4.5,2.0,4.5,2.5,Missing,4.5,4.0,5.0,3.0,4.5,Late 4.5,Late 3.0,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Late 4.5,Late 4.0,Late 4.0,Late 4.0,Late 4.5,Missing,Late 4.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing
remobo,2,32,42,134,132,271,261,237,16,93,1220,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Late 2.0,3.5,Missing,Missing,Late 4.0,Missing,Late 2.0,Missing,Late 3.0,Missing,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 4.5,Missing,Missing,Missing,Missing
ezracubero,90,185,163,277,344,417,427,602,439,259,3203,4.5,4.5,3.0,Missing,5.0,4.0,2.0,5.0,5.0,2.5,4.0,5.0,2.0,3.5,4.5,4.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.5,5.0,2.0,5.0,3.5,4.0,4.5,4.5,5.0,4.0,4.5,4.5,Missing,3.5,5.0,Missing,5.0,4.5,Missing,4.0,4.5,5.0,5.0,5.0,4.5,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.5,5.0,3.5,4.5,4.5,5.0,5.0,5.0,4.5,Missing
