movie,nomination_date
dune-part-two,12/09/2024
a-complete-unknown,12/09/2024
the-substance,12/09/2024
furiosa-a-mad-max-saga,12/11/2024
a-real-pain,12/09/2024
the-color-purple,01/10/2024
maestro-2023,12/11/2023
past-lives,12/11/2023
the-zone-of-interest,12/11/2023
tar-2022,01/11/2023
the-menu-2022,01/25/2023
bardo-false-chronicle-of-a-handful-of-truths,01/09/2023
babylon-2022,01/11/2023
the-menu-2022,01/25/2023
rrr,12/14/2022
nightmare-alley-2021,12/13/2021
belfast,01/12/2022
being-the-ricardos,01/27/2022
nightmare-alley-2021,12/13/2021
house-of-gucci,01/12/2022
no-time-to-die-2021,01/27/2022
the-french-dispatch,01/27/2022
the-father-2020,02/03/2021
the-mauritanian,03/09/2021
minari,02/08/2021
judas-and-the-black-messiah,02/16/2021
one-night-in-miami,02/04/2021
sound-of-metal,02/08/2021
ford-v-ferrari,01/02/2020
the-two-popes,12/09/2019
knives-out-2019,01/06/2020
joker-2019,01/06/2020
vice-2018,01/07/2019
a-star-is-born-2018,01/07/2019
crazy-rich-asians,01/04/2019
if-beale-street-could-talk,01/07/2019
blackkklansman,01/07/2019
deadpool-2,01/07/2019
mary-poppins-returns,12/06/2018
a-quiet-place-2018,01/04/2019
darkest-hour,12/06/2017
phantom-thread,01/23/2018
the-post-2017,01/03/2018
the-big-sick,12/06/2017
the-florida-project,12/06/2017
the-disaster-artist,01/04/2018
logan-2017,01/04/2018
hacksaw-ridge,12/01/2016
manchester-by-the-sea,01/03/2017
sing-street,12/12/2016
sully,12/01/2016
hell-or-high-water,01/03/2017
nocturnal-animals,01/04/2017
the-lobster,01/03/2017
deadpool,12/12/2016
the-jungle-book-2016,01/03/2017
captain-fantastic,12/14/2016
ant-man,01/04/2016
carol-2015,01/06/2016
steve-jobs,01/06/2016
star-wars-the-force-awakens,12/14/2015